"Record Set","Primary Classification","Subtype","Name","Description","Product","Domain / Product Category","Commercial Type","Availability","Availability Group","Identifier","Minimum Required Version","Related Joule Assistants","Source","Source Collection","Snapshot Date","Notes"
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","ESG Report Generation","Generate comprehensive sustainability reports using ESG metrics data.","SAP Sustainability Control Tower","Financial Management","Premium","Generally Available","Generally Available","J93","","","https://discovery-center.cloud.sap/ai-feature/c2b939fa-8655-446c-8d24-81e945c7ecd6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Exception Management","Detect exceptions and create alerts for users.","SAP Cell and Gene Therapy Orchestration","Supply Chain Management","Base","Generally Available","Generally Available","J726","","","https://discovery-center.cloud.sap/ai-feature/72510d2b-ceec-453c-bf75-41eed7a846ae/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Experience Assessment","How closely a job seeker's professional background aligns with a job posting.","SAP Fieldglass Contingent Workforce Management","Spend Management","Base","Generally Available","Generally Available","J849","","","https://discovery-center.cloud.sap/ai-feature/7a83cedb-25ed-4ed7-af94-3e6cb1d2f85d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Explanation of Fixed Asset Depreciation Keys","Explain depreciation types and calculation procedures in natural language.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J86","","","https://discovery-center.cloud.sap/ai-feature/15f5b518-2786-4908-953f-801172d7972a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Explanation of Fixed Asset Key Figures","Better insights into fixed asset key figures using AI-generated explanations.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J288","","","https://discovery-center.cloud.sap/ai-feature/8658cb4d-fc45-4db1-b5e3-68a63a255955/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Extended AI Locales","Review‚ customize‚ and enable AI-translated locales for use.","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J766","","","https://discovery-center.cloud.sap/ai-feature/60772d47-5ec6-4d66-9d41-ae8a2b869996/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Factsheet Field Calculations","Turn plain-language business rules into custom calculations.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J1501","","","https://discovery-center.cloud.sap/ai-feature/5f33578a-0170-46c8-b33f-63b934e57171/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Failure Curve Analytics","Predict probabilities of failures for technical objects.","SAP Asset Performance Management","Supply Chain Management","Base","Generally Available","Generally Available","J823","","","https://discovery-center.cloud.sap/ai-feature/48add62d-58d0-43f4-adcd-76b404e80eed/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Farming Decision Framework","Inject farming decision support just-in-time during farming processes.","SAP Intelligent Agriculture","Technology Platform","Base","Generally Available","Generally Available","J835","","","https://discovery-center.cloud.sap/ai-feature/a8e9c59c-0f89-46ee-8fc9-528bd59ab4e5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Fixed Asset Key Figures Explanation","Understand the explanation of fixed asset key figures in natural language.","SAP S/4HANA Cloud Private Edition","Financial Management","Base","Generally Available","Generally Available","J966","SAP S/4HANA 2025 FPS01","","https://discovery-center.cloud.sap/ai-feature/780e16a7-74cf-4118-b200-c13484d2f9b5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Forecast Results Analysis","Explain the forecast outcome and recommend ways to improve accuracy.","SAP Integrated Business Planning","Supply Chain Management","Premium","Generally Available","Generally Available","J380","","","https://discovery-center.cloud.sap/ai-feature/891ed108-7f7b-49f6-99ec-291c2efd18a4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Form Extension in Localization as a Self-Service","Extend localized forms to meet your specific requirements.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J117","","","https://discovery-center.cloud.sap/ai-feature/f5f33f40-36d4-4265-b709-461c0c151587/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Form Generation","Generate process automation forms from natural language descriptions.","SAP Build Process Automation","Technology Platform","Base","Generally Available","Generally Available","J641","","","https://discovery-center.cloud.sap/ai-feature/ff9ca9a1-b443-405d-95bd-9b53a8a503db/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","G/L Line-Item Determination","Auto-enrich and complete draft invoices using historical invoice data.","SAP Ariba Invoicing","Spend Management","Base","Generally Available","Generally Available","J844","","","https://discovery-center.cloud.sap/ai-feature/eaf5dcf1-f7aa-4104-8157-d1b72f3881b5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Generation of Integrations","Generate integration scenarios using natural language prompts.","SAP Integration Suite","Technology Platform","Base","Generally Available","Generally Available","J92","","","https://discovery-center.cloud.sap/ai-feature/464fdfbe-5809-4a0a-b6e8-65c79033837d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Generation of Operations Automations","Generate DevOps and SRE automation flows based on a simple prompt.","SAP Automation Pilot","Technology Platform","Base","Generally Available","Generally Available","J42","","","https://discovery-center.cloud.sap/ai-feature/be607323-864e-4898-9fe4-0be8f0440d40/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Goods Receipt Processing","Automatically check delivery documents with AI.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J28","SAP S/4HANA 2023 FPS00","","https://discovery-center.cloud.sap/ai-feature/8d54e237-4ae9-427d-859a-c3e1cd694127/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Hotel Receipt Itemization","Automatic itemization of hotel receipts.","Concur Expense","Spend Management","Base","Generally Available","Generally Available","J33","","","https://discovery-center.cloud.sap/ai-feature/5727f719-99ab-4f95-8a88-221bacf02525/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Image Generation","Use AI tools for seamless product visual transformation and editing.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J130","","","https://discovery-center.cloud.sap/ai-feature/b2f729da-d601-4ad1-a190-5498088b7fad/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Image Generation for Learning","Generate images more easily and effectively with AI-assistance.","SAP SuccessFactors Learning","Human Capital Management","Premium","Generally Available","Generally Available","J265","","","https://discovery-center.cloud.sap/ai-feature/b56c5f60-17d9-4215-bf06-908e3d8c990d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","In-house Service Initiation","Initiate in-house services from paper-based information using AI technology.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J240","SAP S/4HANA 2023 FPS03","","https://discovery-center.cloud.sap/ai-feature/df0164e9-75f2-4547-80d3-586619709246/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Insights Description Generator","Creating clear‚ consistent‚ and business user–friendly descriptions.","SAP Signavio Process Transformation Manager","Business Transformation Management","Base","Generally Available","Generally Available","J669","","","https://discovery-center.cloud.sap/ai-feature/0614d66c-4e6d-42bc-b45b-135ba035d843/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Insights into Detailed 360 Report","Gain insights into Detailed 360 Report.","SAP SuccessFactors Performance and Goals","Human Capital Management","Premium","Generally Available","Generally Available","J577","","","https://discovery-center.cloud.sap/ai-feature/f6aa846b-238a-44c3-b3da-6faa76e8761b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Audit","Check expense reports to identify errors and compliance issues.","Concur Expense","Spend Management","Base","Generally Available","Generally Available","J841","","","https://discovery-center.cloud.sap/ai-feature/c75d552d-8cc5-400f-9cb3-abb470e4b560/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Customer Profile","Harness data from SAP CX to generate a summary that is easy to comprehend.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J13","","","https://discovery-center.cloud.sap/ai-feature/d37ca55c-2e9a-4ab6-a225-31d2f0760fd5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Filtering","Estimate the expected real duration of activities based on time efforts logged.","SAP Field Service Management","Supply Chain Management","Premium","Generally Available","Generally Available","J62","","","https://discovery-center.cloud.sap/ai-feature/cb3e2dbe-6c9a-4c22-972a-8339e0d7a06a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Invoice Error Classification","Process rejected invoices submitted through the SAP Business Network.","SAP Business Network for Procurement and Supply Chain","Supply Chain Management","Base","Generally Available","Generally Available","J106","","","https://discovery-center.cloud.sap/ai-feature/37100360-fb06-4794-9f31-abef001ccb39/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Listings","Generate product descriptions of suppliers’ catalog items.","SAP Business Network for Procurement and Supply Chain","Supply Chain Management","Base","Generally Available","Generally Available","J66","","","https://discovery-center.cloud.sap/ai-feature/c70b8e5c-86a3-4819-abb2-3428ee11e0a2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intelligent Q&A","Find answers to work-related questions by analyzing your company's content.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J14","","","https://discovery-center.cloud.sap/ai-feature/bbce9642-f71f-4e28-a338-11021c06c5a5/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Interview Feedback Insights","Get insights into interviewer feedback and notes about a given candidate.","SAP SuccessFactors Recruiting","Human Capital Management","Premium","Generally Available","Generally Available","J270","","","https://discovery-center.cloud.sap/ai-feature/a3b668e4-9c02-4890-8620-1bb524c04aeb/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Interview Questions Generation","Use generative AI to provide interviewers with suggested questions.","SAP SuccessFactors Recruiting","Human Capital Management","Premium","Generally Available","Generally Available","J3","","","https://discovery-center.cloud.sap/ai-feature/e90b2438-e873-4759-a174-ffe5c950c88a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Intrusion Detection","Prosecute malicious activity while ensuring a smooth UX for legitimate users.","SAP Customer Data Cloud","Customer Relationship Management","Base","Generally Available","Generally Available","J836","","","https://discovery-center.cloud.sap/ai-feature/f9052d5d-bc3e-4d0c-8525-7fe0eff2e2c3/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Inventory Builder","Upload and analyze data formats to auto-discover architectural elements.","SAP LeanIX solutions","Business Transformation Management","Premium","Generally Available","Generally Available","J178","","","https://discovery-center.cloud.sap/ai-feature/3b4cd740-d09d-4e79-9efc-69bf49221e83/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Inventory Prompts","Support analyzes of IT application landscapes.","SAP LeanIX solutions","Business Transformation Management","Base","Generally Available","Generally Available","J45","","","https://discovery-center.cloud.sap/ai-feature/e3e00a83-6fc7-4ec4-9763-5d62f942e193/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Invoice Capture","Eliminate the hassle of paper invoices and speed up accounts payable processes.","Concur Invoice","Spend Management","Base","Generally Available","Generally Available","J807","","","https://discovery-center.cloud.sap/ai-feature/71917827-81f0-4a94-9597-d1395486c865/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Issue Resolution Guidance","Find similar processes using past cases and bundle them for efficiency.","SAP Quality Issue Resolution","Product Lifecycle Management","Base","Generally Available","Generally Available","J956","","","https://discovery-center.cloud.sap/ai-feature/0555113a-ee74-45f8-8d8e-cca4ff5e737c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Issue Resolution Guidance","Find similar processes using past cases and bundle them for efficiency.","SAP Digital Manufacturing","Supply Chain Management","Base","Generally Available","Generally Available","J957","","","https://discovery-center.cloud.sap/ai-feature/910ea3a0-20be-466d-8651-62147f5b0815/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Job Description Creation","Enhance job description with AI for efficiency and better candidate submissions.","SAP Fieldglass Contingent Workforce Management","Spend Management","Premium","Generally Available","Generally Available","J76","","","https://discovery-center.cloud.sap/ai-feature/c61dfef4-ec5c-4195-8736-116bc96c1abe/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Job Description Enhancement","Generate enhanced job descriptions using generative AI.","SAP SuccessFactors Recruiting","Human Capital Management","Premium","Generally Available","Generally Available","J1","","","https://discovery-center.cloud.sap/ai-feature/1d925a29-4254-4fcc-9726-2ade8885d242/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Job Description Translation","Simplify job requirement communication using AI-enhanced translation.","SAP Fieldglass Contingent Workforce Management","Spend Management","Premium","Generally Available","Generally Available","J75","","","https://discovery-center.cloud.sap/ai-feature/0f6e0fdc-de01-4ab9-9db9-702ee0a927ae/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Job Skills on Career Sites","Allows to upload a resume on career sites and receive job recommendations.","SAP SuccessFactors Recruiting","Human Capital Management","Premium","Generally Available","Generally Available","J773","","","https://discovery-center.cloud.sap/ai-feature/fda4fbef-a125-48bf-ade6-6fbf21dc91d9/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Journal Upload","Accelerate period-end journal entries.","SAP S/4HANA Cloud Private Edition","Financial Management","Premium","Generally Available","Generally Available","J247","SAP S/4HANA 2023 FPS03","","https://discovery-center.cloud.sap/ai-feature/be5c57fd-4b09-436f-8a63-16362fce5547/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Knowledge Indexing","AI-powered data indexing for features and agents based on SAP CX AI Toolkit.","SAP CX AI Toolkit","Customer Relationship Management","Premium","Generally Available","Generally Available","J961","","","https://discovery-center.cloud.sap/ai-feature/f5d00884-5256-4af7-b92c-651c4419a709/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Lead Booster","Increase lead generation effectiveness.","SAP Sales Cloud Version 2","Customer Relationship Management","Premium","Generally Available","Generally Available","J6","","","https://discovery-center.cloud.sap/ai-feature/13f8f984-4e7d-4f29-8e10-88ec87c4ebe7/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Lead Intelligence","Identify open leads that have a high potential of conversion.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J796","","","https://discovery-center.cloud.sap/ai-feature/b8a09223-a2b7-48fd-ada8-430f043c2e31/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Lead Time Master Data Management","Detect and manage changes in dynamic master data‚ specifically lead time.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J49","","","https://discovery-center.cloud.sap/ai-feature/00dc5f4d-fec2-49f0-baf0-8f80024550f0/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Machine Learning Alerts","Prevent supply chain issues before they happen.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J821","","","https://discovery-center.cloud.sap/ai-feature/059ce559-77a9-46d7-855b-b193363ee268/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Machine Translation","Use machine translation to translate emails.","SAP Enterprise Service Management","Customer Relationship Management","Base","Generally Available","Generally Available","J813","","","https://discovery-center.cloud.sap/ai-feature/b42f0ef7-0fda-4615-ae3e-998bbd5e2bd1/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Machine Translation","Use machine translation to translate emails.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J853","","","https://discovery-center.cloud.sap/ai-feature/500b5829-a388-4f10-b629-c0b0eea3820e/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Maintenance Order Recommendation","Get maintenance order recommendations from historical data.","SAP S/4HANA Cloud Private Edition","Cloud ERP applications","Premium","Generally Available","Generally Available","J241","SAP S/4HANA 2023 FPS02","","https://discovery-center.cloud.sap/ai-feature/d2a47a4f-3ea2-4f5b-9bdf-43fc2a3d95f2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Market Dynamics Chart Plotting","Generate content recommendations based on AI.","SAP Ariba Category Management","Spend Management","Premium","Generally Available","Generally Available","J23","","","https://discovery-center.cloud.sap/ai-feature/0b25207e-a9d9-4ffc-9e33-711d7a42eabb/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Master Data Consistency","Discover patterns in your master data.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J819","","","https://discovery-center.cloud.sap/ai-feature/e32a154a-933b-400c-996f-c3b823393247/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Master Data Governance","Create master data change requests and generate summaries.","SAP S/4HANA Cloud Private Edition","Financial Management","Premium","Generally Available","Generally Available","J151","SAP S/4HANA 2023 FPS02","","https://discovery-center.cloud.sap/ai-feature/4cb78833-492a-43db-abb2-01747e7e4335/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Matching Improvement","Find the best-fit suppliers based on requirements.","SAP Business Network for Procurement and Supply Chain","Supply Chain Management","Base","Generally Available","Generally Available","J143","","","https://discovery-center.cloud.sap/ai-feature/bdb5f0f8-d4c9-424e-8b01-56713d44dedf/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Material Group Recommendations","Suggest the most relevant material groups based on purchase orders.","SAP Ariba Central Procurement","Spend Management","Base","Generally Available","Generally Available","J830","","","https://discovery-center.cloud.sap/ai-feature/6aa3651e-47b6-400b-87db-64b185fee92b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Microsoft Teams Chat","Interact using natural language‚ get to your features and information faster.","SAP SuccessFactors solutions","Human Capital Management","Premium","Generally Available","Generally Available","J142","","","https://discovery-center.cloud.sap/ai-feature/0270dc31-dd49-4b30-a42a-5c6c3c16b11b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Mobile Execution","Voice-to-text for faster‚ accurate job reporting in the field.","SAP Service and Asset Manager","Supply Chain Management","Premium","Generally Available","Generally Available","J311","","","https://discovery-center.cloud.sap/ai-feature/6c9a0bd1-95db-4b4c-8c12-c8c0e36898c2/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","MRO Inventory Analysis","Analyze safety stock and reorder outputs to support root cause analysis.","SAP Integrated Business Planning","Supply Chain Management","Premium","Generally Available","Generally Available","J1000","","","https://discovery-center.cloud.sap/ai-feature/5fa5aaf1-ef2b-46c9-bf8e-b0038f6c4405/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Multi-Model Data Extraction","Leverage generative AI for a reliable invoice processing experience.","SAP Ariba Invoicing","Spend Management","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J1245","","","https://discovery-center.cloud.sap/ai-feature/92b79a8b-a2fe-49bd-b221-ea833b9318fa/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Natural Language Query","Deliver tailored‚ contextual insights on user questions in natural language.","SAP Analytics Cloud","Technology Platform","Base","Generally Available","Generally Available","J25","","","https://discovery-center.cloud.sap/ai-feature/6a655660-1f00-4b22-a6e4-b79167b527ec/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","NLP Classification","Identify sentiment from emails.","SAP Enterprise Service Management","Customer Relationship Management","Base","Generally Available","Generally Available","J803","","","https://discovery-center.cloud.sap/ai-feature/7e1292bd-302d-4a6f-903d-77267cd92ec1/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","NLP Classification","Identify sentiment from emails.","SAP Sales Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J797","","","https://discovery-center.cloud.sap/ai-feature/537d4f2d-e388-4ce0-9663-1f4d15adf235/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","NLP Classification","Identify sentiment from emails.","SAP Service Cloud Version 2","Customer Relationship Management","Base","Generally Available","Generally Available","J852","","","https://discovery-center.cloud.sap/ai-feature/54affede-32fc-46b4-b9bf-c04eb12d341d/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Note Corrections for Project Billing","Propose grammatically correct notes for project billing request items.","SAP S/4HANA Cloud Public Edition","Financial Management","Premium","Generally Available","Generally Available","J346","","","https://discovery-center.cloud.sap/ai-feature/cab0dc5c-6c85-4d8e-963a-cad7a64e012a/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","O*NET Labelling","Recommend O*NET codes for job classifications.","SAP Fieldglass Contingent Workforce Management","Spend Management","Base","Generally Available","Generally Available","J845","","","https://discovery-center.cloud.sap/ai-feature/91ab4a9a-a6ec-4b3a-a06d-7e530af84f2c/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","On-Demand AI","Make company knowledge discoverable everywhere via conversational AI interface.","WalkMe","Technology Platform","Base","Early Adopter Care (EAC)","Early Adopter / EAC","J1462","","","https://discovery-center.cloud.sap/ai-feature/8033cbfa-7af4-4c7f-a9ed-59db6cbb20a4/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Optimal Order Quantities","Optimize order quantities for groups of products according to objectives.","SAP Predictive Replenishment","Supply Chain Management","Base","Generally Available","Generally Available","J834","","","https://discovery-center.cloud.sap/ai-feature/114a2d42-80fc-4fa3-bf8c-b405dc81d9ab/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Outlier Job Detection","Detect jobs that are taking longer or shorter than expected.","SAP Integrated Business Planning","Supply Chain Management","Base","Generally Available","Generally Available","J820","","","https://discovery-center.cloud.sap/ai-feature/708721ca-6e0f-472c-9bee-21bb3bb03a1b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Payment Exception Analysis","Analyze payment exceptions and discover recommended resolutions.","SAP S/4HANA Cloud Public Edition","Financial Management","","Beta","Beta","J375","","","https://discovery-center.cloud.sap/ai-feature/016c719c-5363-47ff-945f-cdddd5241871/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Performance Goal Creation","Build meaningful and inspiring performance goals.","SAP SuccessFactors Performance and Goals","Human Capital Management","Premium","Generally Available","Generally Available","J38","","","https://discovery-center.cloud.sap/ai-feature/231d6a91-c550-4bca-8de7-b903cb7e7f5b/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Performance Insights","Get insights on an employee's performance based on the feedback received.","SAP SuccessFactors Performance and Goals","Human Capital Management","Premium","Generally Available","Generally Available","J272","","","https://discovery-center.cloud.sap/ai-feature/3724bee9-7e25-4416-b9c9-b03cbb37d7b6/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
"SAP Discovery Center","Embedded AI Feature","SAP Discovery Center AI Feature","Permit Management","Automatically extract and setup permit data from document.","SAP S/4HANA Cloud Public Edition","Cloud ERP applications","","Beta","Beta","J344","","","https://discovery-center.cloud.sap/ai-feature/89944fea-d96d-453c-9684-fe2b2c9cbb51/","https://discovery-center.cloud.sap/ai-catalog/","2026-07-13",""
